info_type_id,movie_id,info,title,production_year
3,1072734,Western,"Gun Law",1955
3,1405687,Western,"Sam il ragazzo del West",1973
3,2701011,Western,"Die Monroes",1970
3,678366,Western,"The Deerslayer",1969
3,464569,Western,"Cowboy Bob's Corral",1969
3,141335,Western,"Die Ballade von Gregorio Cortez",NULL
3,695079,Western,Disneylandia,1954
3,430682,Western,"Colorado Saga",1991
3,2107582,Western,"Tausend Meilen Staub",1965
3,248874,Western,"Die KÃ¼ste der Ganoven",1978
3,678366,Western,"The Last of the Mohicans",1969
3,1552332,Western,"Colomba solitaria",1989
3,2920662,Western,Trigun,1998
3,1119742,Western,"Hec Ramsey",1972
3,2579140,Western,"Die Cowboys",1975
3,678366,Western,"The Leatherstocking Tales",1969
3,2839210,Western,"I ragazzi della prateria",1991
3,2519496,Western,"Le avventure di Brisco County",1997
3,2087428,Western,"Ernesto Sparalesto",1959
3,2920662,Western,"Trigun #1: The $$60,000,000,000 Man",2003
3,1754306,Western,Flicka,1969
3,331469,Western,Ponderosa,1972
3,1509370,Western,"Lucky Luke - Die neuen Abenteuer",2002
3,909593,Western,"I ragazzi di padre Murphy",1981
3,1533363,Western,"La casa nella prateria",1974
3,678366,Western,"Adventures in Ontario",1969
3,928333,Western,"Fjorden Cowboys",2014
3,1936666,Western,Fuorilegge,1986
3,968174,Western,"Fury - Die Abenteuer eines Pferdes",1991
3,2519496,Western,"Brisco County Jr.",1993
3,2391147,Western,"Legends of the Old West",2014
3,1398090,Western,"Kung Fu",1972
3,1482815,Western,"The Westerners",1959
3,2764951,Western,"Louis L'Amour's The Sacketts",1979
3,1315435,Western,"Von Cowboys, Sheriffs und Banditen",1972
3,1198853,Western,"The Macahans",1977
3,2822259,Western,"So war der Wilde Westen",2006
3,2107582,Western,"Tausend Meilen Staub",1991
3,2521462,Western,"Pow Wow Indianersohn",1949
3,2813764,Western,"Die Leute von der Shiloh Ranch",1991
3,430682,Western,"James A. Michener's Centennial",1978
3,2579140,Western,"Giovani Cowboys",1974
3,2677267,Western,"Der Mann in den Bergen",1979
3,2706818,Western,"The NBC Wednesday Mystery Movie",1972
3,3047191,Western,"Major Adams, Trail Master",1957
3,281752,Western,"Il meglio del west",1981
3,678366,Western,"Aventure en Ontario",1969
3,678366,Western,"VÃ®natorul de cerbi",1969
3,2677017,Western,"Wyatt Earp",1955
3,1398118,Western,"Im Zeichen von Drachen und Tiger",NULL
3,1267331,Western,"Into the West",2005
3,2391147,Western,"Eisenbahndetektiv Matt Clark",1968
3,496835,Western,"The Colt Cousins",1957
3,637912,Western,"Death Valley Days",1952
3,331469,Western,Bonanza,1959
3,2683738,Western,"Hurricane at Pilgrim Hill",NULL
3,678368,Western,"The Last of the Mohicans",NULL
3,2822259,Western,"The Wild West",2006
3,748741,Western,"Dusty, Dusty!",1974
3,2677017,Western,"Wyatt Earp greift ein",1960
3,2677017,Western,"Le leggendarie imprese di Wyatt Earp",1955
3,2391147,Western,"Legends of the West",1954
3,1533363,Western,"Little House: A New Beginning",1982
3,2813764,Western,"Die Leute von der Shiloh Ranch",1970
3,2820772,Western,Winchester,1960
3,2339248,Western,"Custer figlio della stella del mattino",1991
3,1824622,Western,"James Garner as Nichols",1971
3,102660,Western,"Alias Smith and Jones",1971
3,3049913,Western,Walker,1993
3,551100,Western,"Cowboy G-Men",1952
3,2543625,Western,"La grande vallata",1965
3,473592,Western,"Corky und der Zirkus",1957
3,695079,Western,"Walt Disney's Wonderful World of Color",1961
3,695655,Western,"Gallegher: The Mystery of Edward Sims",NULL
3,336113,Western,"The Story of the Fifth Cavalry",1957
3,349570,Western,"Bret Maverick",1981
3,1347641,Western,"Captain Petko Voivode",1981
3,2637831,Western,"Die Spur des Jim Sonnett",1973
3,1326745,Western,"Roy Bean, ein Richter im wilden Westen",1956
3,695079,Western,"Walt Disney Presents",1958
3,637912,Western,"Trails West",1952
3,248874,Western,"Die KÃ¼ste der Ganoven",1991
3,2764951,Western,"The Sacketts",1979
3,678368,Western,"Die LederstrumpferzÃ¤hlungen: Der letzte Mohikaner",NULL
3,2396353,Western,"Der letzte Ritt",2008
3,2683776,Western,"Die glorreichen Sieben",2001
3,2764951,Western,"Die Sacketts",1983
3,1072734,Western,"Rauchende Colts",1991
3,637912,Western,"The Pioneers",1952
3,2820772,Western,"The Westerners",1960
3,354722,Western,"Daughters of Joy",2005
3,2757645,Western,"I sentieri del west",1966
3,344414,Western,"Penna di Falco, capo cheyenne",1955
3,3278130,Western,"Anything for a Friend",1973
3,3204255,Western,"100.000 Dollar fÃ¼r einen Colt",1966
3,3220023,Western,"HÃ¶chster Einsatz in Laredo",1966
3,3230419,Western,"Loggers of Hell-Roarin' Mountain",1921
3,3265286,Western,"Cannibal: The Musical",1993
3,3228410,Western,Gunfight,1971
3,3352664,Western,"Billy the Kid kehrt zurÃ¼ck",2007
3,3320924,Western,"Die RÃ¤cher von Missouri",1959
3,3300604,Western,"The Deserter",1954
3,3360385,Western,"Blazing Saddles",1974
3,3288397,Western,"La rose de sang",1939
3,3300492,Western,"Django and Sartana's Showdown in the West",1970
3,3306545,Western,"Asterix erobert Amerika",1994
3,3259600,Western,"Local Hero",2013
3,3339928,Western,"Gold in San Fernando",1949
3,3215360,Western,"Ringo Takes All",1966
3,3248863,Western,"Zwei Halleluja fÃ¼r den Teufel",1972
3,3212595,Western,"Death Walks in Laredo",1966
3,3265286,Western,"Cannibal! The Musical",1996
3,3294151,Western,"Massai - Der groÃŸe Apache",1954
3,3319664,Western,"La frustata",1956
3,3352012,Western,"Django Kills Silently",1967
3,3278471,Western,"MÃ¡talos y vuelve",1969
3,3213831,Western,"3:10 to Yuma",1957
3,3204280,Western,"One Thousand Dollars on the Black",1966
3,3346371,Western,"Power of Justice",1940
3,3288397,Western,"Rosa di sangue",1939
3,3327316,Western,"Gold Town",1944
3,3287365,Western,"El tesoro",1986
3,3339727,Western,"Belle Starr",1941
3,3052034,Western,"Ricercato vivo o morto",1958
3,3329257,Western,"Der Weg zur HÃ¶lle",1955
3,3298943,Western,"The Arizona Gunfighter",1937
3,3239349,Western,"A Six Shooting Romance",1926
3,3223650,Western,"The Dangerous Dude",1929
3,3213831,Western,"Quel treno per Yuma",1957
3,3346170,Western,"Porto dos Mortos",2010
3,3278131,Western,"Zwei linke HÃ¤nde in der rechten Tasche",1972
3,3349888,Western,"Jack il bucaniere",1949
3,3360385,Western,"Der wilde wilde Westen",1974
3,3264313,Western,"Dead Freight for Piute",1948
3,3357637,Western,"The Broken Dollar",1927
3,3253326,Western,"Farewell Homeland",2003
3,3202447,Western,"And His Name Was Holy Ghost",1971
3,3217228,Western,"Der mysteriÃ¶se Dr. Lao",1964
3,3323854,Western,"Bald Knobber",2016
3,3278131,Western,"Ben et Charlie",1972
3,3284834,Western,"Django's Cut Price Corpses",1971
3,3294151,Western,"L'ultimo Apache",2006
3,3212234,Western,"Three Graves for a Winchester",1966
3,3205892,Western,"Fifteen Scaffolds for the Killer",1968
3,3298928,Western,"Arizona Bushwhackers",1968
3,3224669,Western,"Bob Reeves #6: A Desperate Chance",1925
3,3300617,Western,"Die Bestie der Wildnis",1954
3,3270334,Western,"100 FÃ¤uste und ein Halleluja",2008
3,3241212,Western,"Gun Crazy",1990
